Algorithm,Average accuarcy,Min accuacry,Recover time
KNN-Adwin,0.9627933333333335,0.4864,1
AWE,0.9657300000000001,0.49139999999999995,1
DWM,0.9661500000000001,0.49139999999999995,1
LNSE,0.9663799999999999,0.49139999999999995,1
SPRC,0.9621166666666666,0.49139999999999995,1
