Row,Obs_500,Obs_1500,Obs_5000,Obs_15000
CB,1.075,1.2,1.275,1.65
MMHC,19.175,14.925,10.875,10.65
K2_bef,1.7,2.225,2.5,2.5
K2_aft,0,0,0,0
