Row,Obs_500,Obs_1500,Obs_5000,Obs_15000
CB,13.675,10.075,5.9,4.55
MMHC,55.2,39.775,24.6,17.4
K2_bef,47.025,21,12.25,8.15
K2_aft,45.25,18.925,10.95,6.55
