Row,Obs_500,Obs_1500,Obs_5000,Obs_15000
CB,0.3,0.275,0.6,0.575
MMHC,3.6,2.85,2.55,2.2
K2_bef,5.05,2.25,2.75,3.275
K2_aft,4.225,0.25,0.025,0.025
