Row,Obs_500,Obs_1500,Obs_5000,Obs_15000
CB,10.825,7.875,3.708333333,3.133333333
S&S,4.391666667,2,1.2,1.175
MMHC,60.73333333,40.75833333,23.625,17.44166667
K2_bef,42.18333333,18.05,12.10833333,9.666666667
K2_aft,38.21666667,12.19166667,6.4,3.625
PC,50.03333333,32.85,20.825,17.56666667
