Step,adwin_F1,awe_F1,dwm_F1,lnse_F1,srp_F1
1,0.1998177181337794,0.0,0.0,0.0,0.0
2,0.49882985615603725,0.5173945511376468,0.4807352419083113,0.5032074611190136,0.49732669309768857
3,0.5019714242644797,0.49129153921257307,0.4437088812163563,0.4948967886999872,0.5015577131235643
4,0.5144191977929284,0.49837644220312144,0.49126069651366766,0.5049596967875842,0.5054508777492311
5,0.494510968805811,0.49881298059593615,0.4564770405327656,0.4946028474348839,0.502177390834335
6,0.4921484402452793,0.48784602797445376,0.434636285968282,0.5002100373371806,0.5096483886860321
7,0.5044970616261013,0.5195744131729172,0.4821104210595285,0.5076299620602163,0.5144008764685399
8,0.5141861980399229,0.5067569365872155,0.4902927596643515,0.5086066470700642,0.5037562563122291
9,0.5104689754953641,0.4878405787988669,0.4320540464341526,0.5011619052478963,0.49859267681060687
10,0.5096310150305823,0.4906191839932676,0.4808908927784697,0.516761087624688,0.4873012840115901
11,0.34499007806550164,0.3325066802194148,0.299165551554564,0.3530806420753073,0.3342810429013781
12,0.8882703686934361,0.9379944395542884,0.9292605942173028,0.9853994573476914,0.934318760650361
13,0.8958593937564011,0.9347919220426132,0.9261720616264583,0.9856509356177728,0.9341634777596075
14,0.8920113702574796,0.9232850951425758,0.9221219901851525,0.9844474108836391,0.9247889576061137
15,0.878900563441093,0.9124181954457035,0.9098767893216116,0.9943312528323652,0.9160289506757687
16,0.8811122037608474,0.9092415996245073,0.8944087070729241,0.9976748141442405,0.9053220263769111
17,0.8614709449686535,0.8883215819032495,0.8855502104510539,1.0,0.9123704077689381
18,0.8465522596032766,0.8746502321240237,0.8622498471012678,0.9424817782868893,0.8480816134207769
19,0.7997682051978069,0.8598216760449574,0.839591945358792,0.8692311801708097,0.7965757207235492
20,0.834314327244328,0.8460761390600184,0.8161494796038052,0.9428166254275376,0.829530545218087
21,0.8362998215603842,0.8372319351456234,0.7878356807688385,0.9645249309727383,0.8510469506376047
22,0.8348365662927926,0.8443141233055282,0.7704113604612821,0.9581367449517645,0.8591910710884866
23,0.7048147337651667,0.7273983695904804,0.6340334259100353,0.8508626449838713,0.7339946825127539
24,0.7146297206040763,0.7291406192265277,0.6563571227043338,0.8235007114857957,0.7453030562678424
25,0.6917236432809305,0.6818204354031072,0.6708537556993337,0.8011582413280411,0.6214022728270717
26,0.7941348364577065,0.7340209293120938,0.748393634237057,0.8902477053534857,0.736329699717585
27,0.7139682332766678,0.7113766612383016,0.6966004153059364,0.82266739235244,0.6790066219807003
28,0.8887151489456755,0.8700394790721185,0.8634041230928424,0.9972885736184794,0.8594207207928625
29,0.8738800679392019,0.8992265668549624,0.8938021326587988,0.9977912648349865,0.896022719300154
30,0.8798108956197315,0.891147867942896,0.890828966791182,0.9990415434092894,0.9204591788567453
