Row,Obs_500,Obs_1500,Obs_5000,Obs_15000,Obs_50000
CB,0,0.2,0.4,0.5,0
S&S,0.1,0.1,0,0,0
MMHC,0.2,0,0,0,0.4
K2_bef,1.6,1.8,2,2,2
K2_aft,0.6,0,0,0,0
