Row,Obs_500,Obs_1500,Obs_5000,Obs_15000,Obs_50000
CB,0.9,1,0,0.3,0
S&S,0,0,0,0,0
MMHC,4.7,4.3,3.6,3,5.8
K2_bef,2,2,2,2,2
K2_aft,0,0,0,0,0
