Row,Obs_500,Obs_1500,Obs_5000,Obs_15000,Obs_50000
CB,9.5,6.5,1.5,0.8,0
S&S,2,0.2,0,0,0
MMHC,17.4,11.6,7.8,6.5,9
K2_bef,15.5,9.5,8.4,7.8,7.1
K2_aft,9.8,3.7,2.4,1.8,1.1
PC,20.9,12.7,7,6.7,3.6
CB_new_thres,7.3,3.4,1.2,0,0
