Row,Obs_500,Obs_1500,Obs_5000,Obs_15000,Obs_50000
CB,8.6,5.3,1.1,0,0
S&S,1.9,0.1,0,0,0
MMHC,12.5,7.3,4.2,3.5,2.8
K2_bef,11.9,5.7,4.4,3.8,3.1
K2_aft,9.2,3.7,2.4,1.8,1.1
