Step,Accuracies,RunTime,Tests
1,0.9,2.48444916,0
2,0.902,0,0
3,0.891,0,0
4,0.889,0,0
5,0.86,0,0
6,0.893,0,0
7,0.897,0,0
8,0.898,0,0
9,0.884,0,0
10,0.876,0,0
11,0.866,0,0
12,0.862,0,0
13,0.86,0,0
14,0.826,0,0
15,0.857,0,0
16,0.833,0,0
17,0.859,0,0
18,0.87,0,0
19,0.87,0,0
20,0.889,0,0
21,0.883,0,0
22,0.888,0,0
23,0.859,0,0
24,0.892,0,0
25,0.856,0,0
26,0.889,0,0
27,0.875,0,0
28,0.875,0,0
29,0.87,0,0
30,0.88,0,0
