Step,Accuracies,RunTime,Tests
1,0.9,121.07808939,159.310344827586
2,0.902,0,0
3,0.891,0,0
4,0.889,0,0
5,0.681,0,0
6,0.742,0,0
7,0.624,0,0
8,0.639,0,0
9,0.801,0,0
10,0.834,0,0
11,0.519,0,0
12,0.506,0,0
13,0.501,0,0
14,0.482,0,0
15,0.497,0,0
16,0.522,0,0
17,0.649,0,0
18,0.504,0,0
19,0.509,0,0
20,0.704,0,0
21,0.74,0,0
22,0.525,0,0
23,0.511,0,0
24,0.829,0,0
25,0.672,0,0
26,0.608,0,0
27,0.538,0,0
28,0.619,0,0
29,0.484,0,0
30,0.517,0,0
