Week,TP,FP,FN,TN,FA,TP_Precision,TP_Recall,TN_Precision,TN_Recall,F1_pos,F1_neg,F1_Avg,Geometric_mean,Balanced_Accuracy,Y_score,AUC,Accuracy
37,495,20,15,470,0.040816327,0.961165049,0.970588235,0.969072165,0.959183673,0.965853659,0.964102564,0.964978111,0.964869105,0.964885954,0.965002281,0.990702281,0.965
38,296,202,201,301,0.401590457,0.59437751,0.595573441,0.599601594,0.598409543,0.594974874,0.599004975,0.596989925,0.596989808,0.596991492,0.596990522,0.661809825,0.597
39,407,213,99,281,0.431174089,0.656451613,0.804347826,0.739473684,0.568825911,0.722912966,0.643020595,0.682966781,0.676412511,0.686586869,0.692274759,0.806866189,0.688
40,287,83,206,424,0.163708087,0.775675676,0.582150101,0.673015873,0.836291913,0.665121669,0.745822339,0.705472004,0.697744525,0.709221007,0.716783391,0.796636141,0.711
41,159,442,343,56,0.887550201,0.264559068,0.316733068,0.140350877,0.112449799,0.288304624,0.124860647,0.206582635,0.188723528,0.214591433,0.208523203,0.176300821,0.215
42,445,171,48,336,0.337278107,0.722402597,0.902636917,0.875,0.662721893,0.802524797,0.754208754,0.778366776,0.773432122,0.782679405,0.790690352,0.889198283,0.781
43,444,29,61,466,0.058585859,0.938689218,0.879207921,0.884250474,0.941414141,0.90797546,0.911937378,0.909956419,0.909779517,0.910311031,0.910890439,0.969138914,0.91
44,449,378,56,117,0.763636364,0.542926239,0.889108911,0.676300578,0.236363636,0.674174174,0.350299401,0.512236788,0.458424492,0.562736274,0.586174841,0.585656566,0.566
45,335,95,157,413,0.187007874,0.779069767,0.680894309,0.724561404,0.812992126,0.726681128,0.766233766,0.746457447,0.744017279,0.746943217,0.749379401,0.828510099,0.748
46,378,302,136,184,0.621399177,0.555882353,0.73540856,0.575,0.378600823,0.633165829,0.456575682,0.544870756,0.527661147,0.557004692,0.561222934,0.599514019,0.562
47,463,235,27,275,0.460784314,0.663323782,0.944897959,0.910596026,0.539215686,0.779461279,0.677339901,0.72840059,0.71379535,0.742056823,0.764508364,0.898565426,0.738
48,135,297,386,182,0.620041754,0.3125,0.259117083,0.320422535,0.379958246,0.283315845,0.347659981,0.315487913,0.313773282,0.319537664,0.317999466,0.207291662,0.317
49,396,173,82,349,0.331417625,0.695957821,0.828451883,0.80974478,0.668582375,0.756446991,0.732423924,0.744435458,0.744236742,0.748517129,0.750684215,0.835735985,0.745
50,239,311,261,189,0.622,0.434545455,0.478,0.42,0.378,0.455238095,0.397894737,0.426566416,0.425069406,0.428,0.427636364,0.395702,0.428
51,408,308,90,194,0.613545817,0.569832402,0.819277108,0.683098592,0.386454183,0.672158155,0.493638677,0.582898416,0.562683806,0.602865646,0.614665571,0.69127706,0.602
52,188,293,302,217,0.574509804,0.390852391,0.383673469,0.418111753,0.425490196,0.38722966,0.421768707,0.404499184,0.40404121,0.404581833,0.404531952,0.363655462,0.405
53,417,46,91,446,0.093495935,0.900647948,0.820866142,0.830540037,0.906504065,0.858908342,0.86686103,0.862884686,0.862623031,0.863685103,0.864639548,0.938342216,0.863
54,102,314,379,205,0.605009634,0.245192308,0.212058212,0.351027397,0.394990366,0.227424749,0.371713509,0.299569129,0.289414842,0.303524289,0.300817071,0.214005023,0.307
55,518,26,6,450,0.054621849,0.952205882,0.988549618,0.986842105,0.945378151,0.970037453,0.965665236,0.967851345,0.966722923,0.966963885,0.968243939,0.995068638,0.968
56,289,8,217,486,0.016194332,0.973063973,0.571146245,0.691322902,0.983805668,0.719800747,0.812030075,0.765915411,0.749597834,0.777475957,0.804834697,0.929055784,0.775
57,411,5,80,504,0.009823183,0.987980769,0.83706721,0.863013699,0.990176817,0.906284454,0.922232388,0.914258421,0.910408999,0.913622014,0.919559624,0.985973455,0.915
58,380,170,131,319,0.347648262,0.690909091,0.743639922,0.708888889,0.652351738,0.716305372,0.679446219,0.697875796,0.696501827,0.69799583,0.69894741,0.795767151,0.699
