Row,Obs_500,Obs_1500,Obs_5000,Obs_15000
CB,0.6,0.3,0.033333333,0.033333333
S&S,0.066666667,0,0,0
MMHC,2.833333333,2.033333333,1.7,1.666666667
K2_bef,1.533333333,1,0.733333333,0.766666667
K2_aft,1.266666667,0.566666667,0,0
PC,2.533333333,1.3,0.2,0.166666667
