Row,Obs_500,Obs_1500,Obs_5000,Obs_15000
CB,0.061298477,0.09184031,0.11528114,0.155626277
S&S,0.170741997,0.33425699,0.434398593,0.428545583
MMHC,0.248000463,0.36091038,0.515394363,0.628146457
K2_bef,0.230944523,0.318390647,0.400250623,0.421891807
K2_aft,0.23385538,0.332640147,0.39508045,0.41713073
PC,0.141703403,0.273400907,0.43602083,0.63940297
