Row,Obs_500,Obs_1500,Obs_5000,Obs_15000
CB,3.3,2.8,0.9,1.5
S&S,2,1.2,1.2,1.3
MMHC,4.2,3.6,1,1
K2_bef,4.5,5.7,4,4
K2_aft,1.6,0.1,0,0
PC,5.2,3.8,2,2.1
CB_new_thres,3,2.6,0.9,1.5
