Row,Obs_500,Obs_1500,Obs_5000,Obs_15000
CB,0.7,0.8,0.9,1.5
S&S,1.2,1.1,1.2,1.3
MMHC,1.2,1,1,1
K2_bef,1.1,2,2,2
K2_aft,0,0,0,0
