Row,Obs_500,Obs_1500,Obs_5000,Obs_15000
CB,0.44767509,0.65118055,1.38779594,1.94438117
S&S,0.32239075,0.30719644,0.42403228,0.52734026
MMHC,0.42486385,0.56280531,1.43429599,2.97553745
K2_bef,0.54065453,0.62714369,0.90234639,1.10853393
K2_aft,0.57585709,0.63724549,0.84932473,1.07368629
PC,0.76333529,1.51523154,3.91457903,7.87811429
