Row,Obs_500,Obs_1500,Obs_5000,Obs_15000
CB,2.6,2,0,0
S&S,0.8,0.1,0,0
MMHC,3,2.6,0,0
K2_bef,3.3,2.7,1,1
K2_aft,1.6,0.1,0,0
