Row,Obs_500,Obs_1500,Obs_5000,Obs_15000,Obs_50000
CB,26,18,7.5,5.2,1.6
S&S,7.1,2.5,0.5,0.4,0.3
MMHC,153.1,101.6,59.5,38.8,24.2
K2_bef,125.8,46.6,24.3,14,15.5
K2_aft,123.9,43.4,23.1,12.6,9
PC,0,0,0,0,0
