Row,Obs_500,Obs_1500,Obs_5000,Obs_15000,Obs_50000
CB,4.60678033,8.00782681,19.61981996,50.75233628,193.44485187
S&S,981.53871307,686.32256822,670.61989786,653.99839467,700.26373937
MMHC,14.32368698,24.75774765,81.84228819,564.45221413,6095.63825797
K2_bef,932.85789093,1049.57033372,1363.54028182,2230.31287733,5023.05444931
K2_aft,932.98965341,1042.10101022,1355.21223038,2210.35127589,4939.6417653
PC,16.53022779,32.44676546,92.76137269,268.36023295,1263.69651177
