Row,Obs_500,Obs_1500,Obs_5000,Obs_15000,Obs_50000
CB,29.9,21.9,12.4,10.2,6.3
S&S,13.5,6.6,3.6,3.4,3.3
MMHC,218.5,145.8,84,60.6,55.3
K2_bef,147.2,56,35.3,26.1,27.5
K2_aft,140.2,44.4,23.2,12.7,9
PC,171.5,113.6,74.1,61.3,38.3
