Row,Obs_500,Obs_1500,Obs_5000,Obs_15000,Obs_50000
CB,1.2,0.9,1.1,1.2,1.5
S&S,3.4,1.2,0.6,0.4,0.1
MMHC,12.6,9.4,6.5,4.2,3.1
K2_bef,18.5,6.2,7,8.1,8
K2_aft,16.3,1,0.1,0.1,0
PC,0,0,0,0,0
