C_nodes_1,C_nodes_2,C_nodes_3,C_nodes_4,C_nodes_5,C_nodes_6
,,,,,
,,,,,
,,,,,
1,2,6,9,,
1,2,7,,,
1,2,6,7,,
1,,,,,
1,2,6,7,,
2,7,9,,,
1,7,,,,
1,7,,,,
1,7,,,,
9,,,,,
1,2,6,7,,
1,6,7,9,,
1,6,7,,,
1,5,7,,,
1,2,6,7,9,
1,7,,,,
1,6,7,,,
1,4,7,,,
1,2,6,7,,
1,6,7,,,
1,9,,,,
1,2,3,6,7,
1,2,3,4,7,
1,2,7,,,
1,2,6,7,,
1,2,6,7,,
1,2,7,,,
1,2,7,,,
1,2,6,,,
1,2,6,7,,
1,2,6,7,,
1,7,,,,
1,2,6,7,,
1,2,7,,,
1,2,6,7,,
1,2,6,7,8,9
1,2,6,,,
