Row,Obs_500,Obs_1500,Obs_5000,Obs_15000,Obs_50000
CB,17.5,15,16.3,14.6,12.9
MMHC,71.8,69.2,59.3,52.9,39.8
K2_bef,47.9,30.7,22.3,17.8,16
K2_aft,46.3,28.5,18.3,11.8,9
PC,77.6,64.4,55.3,47,41.7
CB_new_thres,17.2,13,11,11,8
