Row,Obs_500,Obs_1500,Obs_5000,Obs_15000,Obs_50000
CB,0,0,0.9,0.6,0.8
MMHC,1.6,2,3.7,4.6,0.7
K2_bef,0,0,1,2,3
K2_aft,0,0,0,0,0
PC,0,0,0,0,0
