Row,Obs_500,Obs_1500,Obs_5000,Obs_15000,Obs_50000
CB,0,0,0.4,1,0.1
MMHC,18,19.6,20.9,21,21.1
K2_bef,0.8,1.7,2,2,3
K2_aft,0,0,0,0,0
PC,0,0,0,0,0
