Row,Obs_500,Obs_1500,Obs_5000,Obs_15000,Obs_50000
CB,1.26094924,2.00162609,5.13513724,13.63989524,55.81482107
MMHC,1.29735023,2.29911024,6.95957919,25.45245329,138.03538592
K2_bef,6.27627431,8.77106337,15.10363635,28.47894832,72.9640363
K2_aft,6.26634516,8.75181992,15.59505498,28.40404101,71.13637597
PC,3.40485585,7.41674834,22.95143287,55.77980474,273.51057747
