Row,Obs_500,Obs_1500,Obs_5000,Obs_15000,Obs_50000
CB,17.5,15,15,13,12
MMHC,52.2,47.6,34.7,27.3,18
K2_bef,47.1,29,19.3,13.8,10
K2_aft,46.3,28.5,18.3,11.8,9
PC,0,0,0,0,0
