Algorithm,Average accuarcy,Min accuacry,Recover time
KNN-Adwin,0.9540400000000001,0.6657,3
AWE,0.9560566666666669,0.6689,3
DWM,0.9577533333333335,0.6689,3
LNSE,0.9490900000000001,0.5776999999999999,3
SPRC,0.9401666666666668,0.6689,3
