Step,adwin_Acc,awe_Acc,dwm_Acc,lnse_Acc,srp_Acc
1,0.5,0.5,0.5,0.5,0.5
2,0.9967,1.0,1.0,1.0,1.0
3,0.9942,1.0,1.0,1.0,1.0
4,0.9937000000000001,1.0,1.0,1.0,1.0
5,0.9950999999999999,1.0,1.0,1.0,1.0
6,0.9944999999999998,1.0,1.0,1.0,1.0
7,0.9948,1.0,1.0,1.0,1.0
8,0.9968,1.0,1.0,1.0,1.0
9,0.9951000000000002,1.0,1.0,1.0,1.0
10,0.9961,1.0,1.0,1.0,1.0
11,0.9964999999999999,1.0,1.0,1.0,1.0
12,0.9944,1.0,1.0,1.0,1.0
13,0.994,1.0,1.0,1.0,1.0
14,0.9963999999999998,1.0,1.0,1.0,1.0
15,0.9953000000000001,1.0,1.0,1.0,1.0
16,0.6657,0.6689,0.6689,0.6689,0.6689
17,0.8007,0.7541999999999999,0.7572,0.5776999999999999,0.8288
18,0.8695999999999999,0.8497999999999999,0.8822999999999999,0.8253,0.884
19,0.9404,0.9563999999999998,0.959,0.9446999999999999,0.9244000000000001
20,0.9715000000000001,0.9785,0.9801,0.9791000000000001,0.9403
21,0.9850999999999999,0.9913999999999998,0.9920999999999998,0.9908999999999999,0.9432
22,0.9916,0.9937000000000001,0.9964000000000001,0.9953,0.9376999999999999
23,0.9950999999999999,0.9960000000000001,0.9988999999999999,0.9977,0.9370999999999998
24,0.9944,0.9978,0.9987,0.9960999999999999,0.9255999999999999
25,0.9966000000000002,0.9983000000000001,0.9996,0.9976,0.9476999999999999
26,0.9966999999999999,0.9996,0.9996,0.9996,0.9423
27,0.9949,0.9998999999999999,0.9998999999999999,0.9998999999999999,0.966
28,0.9934999999999998,0.9993000000000001,1.0,1.0,0.9569999999999999
29,0.9955999999999999,0.9998999999999999,0.9998999999999999,0.9998999999999999,0.9478
30,0.9962,0.998,1.0,1.0,0.9542000000000002
