,Fit_Run_Times,Predict_Run_Times,Total_Run_Times
adwin,752.5140070915222,1410.3067736625671,2162.8207807540894
awe,1023.9179663658142,234.97682309150696,1258.8947894573212
dwm,320.6225826740265,115.72704935073853,436.349632024765
lnse,368.3244547843933,738.6158926486969,1106.9403474330902
srp,1715.5743510723114,503.35177183151245,2218.926122903824
