Step,adwin_Acc,awe_Acc,dwm_Acc,lnse_Acc,srp_Acc
1,0.5011333333333333,0.4936,0.4936,0.4936,0.4936
2,0.7927666666666666,0.9240333333333333,0.9349333333333332,0.7118,0.8827
3,0.7883666666666667,0.925,0.9442666666666666,0.7098333333333333,0.9031333333333332
4,0.7850000000000001,0.9206,0.9397333333333334,0.7184333333333333,0.9140666666666668
5,0.7854333333333332,0.9212333333333333,0.9469999999999998,0.7161333333333333,0.9213666666666667
6,0.7864666666666668,0.9236333333333334,0.9491333333333334,0.7101333333333333,0.9267999999999998
7,0.7919666666666667,0.9233,0.9473666666666667,0.7110666666666667,0.9218666666666666
8,0.7881666666666667,0.9282333333333334,0.9497,0.7191666666666666,0.9136333333333333
9,0.7897000000000001,0.9282000000000001,0.9449,0.7137666666666667,0.9161666666666666
10,0.7921333333333334,0.9297666666666666,0.9464333333333332,0.7172666666666666,0.9119999999999999
11,0.5761,0.6099666666666665,0.6136666666666667,0.5499666666666666,0.5971
12,0.7675666666666666,0.8661,0.8642999999999998,0.6953666666666667,0.7582
13,0.7952333333333333,0.8950999999999999,0.8996000000000001,0.7299333333333333,0.8191333333333333
14,0.7984666666666667,0.8962333333333333,0.9075999999999999,0.7282333333333334,0.8309333333333333
15,0.7953333333333332,0.8936333333333334,0.9050333333333335,0.7218666666666667,0.8266
16,0.7935333333333333,0.9006333333333332,0.9036999999999997,0.7333666666666667,0.8347000000000001
17,0.7948333333333334,0.9008,0.9066333333333334,0.7187666666666667,0.8351
18,0.7973999999999999,0.9035666666666666,0.9060333333333332,0.7225666666666666,0.8385
19,0.7977,0.9076000000000002,0.9048999999999999,0.7209000000000001,0.8380000000000001
20,0.7918000000000001,0.9038666666666668,0.8974000000000002,0.7179333333333332,0.8419333333333332
