Step,Accuracies,RunTime,Tests
1,0.938766666666667,9.2651815,0
2,0.939366666666667,0,0
3,0.940733333333333,0,0
4,0.939066666666666,0,0
5,0.938333333333333,0,0
6,0.9388,0,0
7,0.9354,0,0
8,0.940266666666667,0,0
9,0.943966666666667,0,0
10,0.947333333333333,0,0
11,0.613766666666667,0,0
12,0.599133333333333,0,0
13,0.912866666666667,0,0
14,0.918133333333333,0,0
15,0.9082,0,0
16,0.905666666666667,0,0
17,0.907633333333333,0,0
18,0.911266666666667,0,0
19,0.910233333333333,0,0
20,0.912066666666667,0,0
