Dist_Array1,Dist_Array2,Dist_Array3,Dist_Array4,Dist_Array5,Dist_Array6,Dist_Array7,Dist_Array8,Dist_Array9,Dist_Array10,Dist_Array11,Dist_Array12,Dist_Array13,Dist_Array14,Dist_Array15,Dist_Array16,Dist_Array17,Dist_Array18
3.31554287613814e-06,0.0514764175264808,0.0390479779595609,0.00176950445653401,6.00847584459368e-06,0.00270427668751804,0,0,2.58447875188451e-05,2.58447875188451e-05,2.2404105758851e-07,5.96730954210562e-06,0,5.96730954210562e-06,0,4.41965315214453e-06,0.00142665981245924,0.000564240150672657
2.98685925917645e-06,0.0538775953890619,0.265934568353967,0.00186879804770552,2.23654710319592e-06,0.00185434584591844,0,0,1.59897854960887e-05,1.59897854960887e-05,6.91644094495277e-08,2.21912162461803e-06,0,2.21912162461803e-06,0,1.364404826196e-06,0.000767135361293332,0.000709573738929117
4.08107950175454e-06,0.0618224029466952,0.124212872088128,0.00273092676428052,6.29506649123078e-06,0.00328274203698022,0,0,2.90427446180638e-05,2.90427446180638e-05,2.31461648386127e-07,6.24324097833965e-06,0,6.24324097833965e-06,0,4.56603898812687e-06,0.00158489452288081,0.00070615489845848
6.08508016148161e-06,0.381170244918016,0.0938022592453724,0.0036374188851076,3.25495841225529e-06,0.015504893095605,0,0,5.89797725412782e-06,5.89797725412782e-06,7.06485276090511e-08,1.79090214968849e-06,0,1.79090214968849e-06,0,1.39368199339247e-06,0.00877190714426258,0.000425761985807513
0.0237881431109003,0.768432642487047,1.2168845919733,0.0194558054596198,1.70772586745636e-06,0.00165488903628512,0,0,3.41530371370159e-06,3.41530371370159e-06,2.94724867069238e-08,0.183336786505943,0,0.183336786505943,0,6.80990601841242e-07,0.00538530628750768,0.000975311189648625
0.101493283062892,1.39875959939937,17.4107469629621,0.068292569661314,3.42650215321968e-06,0.0198532710497509,0.365004695287853,0,1.82029583407265e-05,1.2382997534817e-05,0.254814866819601,0.157766598866031,0.113703602471956,0.0348188930378299,0,3.68902734762841e-06,0.0219831056314458,0.00235782192449054
0.203214853085833,3.37231813774083,0.243760699466679,0.238076694934082,2.15911572180546e-05,0.00249136492480266,0.583500814192077,0,8.19755321540284e-05,7.96073055092547e-05,0.517952056762674,0.206856582842082,0.413014499817462,0.0616996953996777,0,8.55785456718026e-07,0.0469369358603238,0.0018141144285797
0.232451416476798,1.51731302357051,0.299405367621964,0.124174632528849,0.00810239287543047,0.00591053455908538,0.347428910389401,0,6.52176248456026e-06,0,0.201055445059974,0.0873784209338253,0.474197572075515,0.0110514759654258,0,5.78700067160977e-07,0.0351461306428725,5.30700515877628e-05
0.165845687889377,3.82755709188413,0.285118353819843,0.128941090255394,0.0105355189193962,0.000375120553966384,0.347139499438851,0,0.000812524316358964,0,0.143946691096503,0.0447155303246004,0.2636249559215,0.00290013773398987,0,5.19125097954983e-07,0.0238043283730207,7.4550880789568e-05
0.165314870614501,1.88903217432386,0.301806472113829,0.11405642431276,0.014117397510159,0.00654316891392346,0.347109437868781,0,0.00347775198674594,0,0.143836830513415,0.0446543006007109,0.264140934594184,0.00288982194498281,0,2.0499510755553e-07,0.0348148645000546,0.000892044700257652
0.213077395215826,1.58541862327285,0.276700230418103,0.137696883915002,0.173931472816134,0.00472035523955126,0.346811952112117,0,0.000122340843242528,0,0.143482284615568,0.0444801819600003,0.265195374430765,0.00285980141497485,0,1.44734016743235e-05,0.0527292766548246,0.00168419651090527
0.162152317822921,2.23819636283331,0.292036231296738,0.124847307201959,0.00702783470683909,0.0146562643473857,0.346510625016581,0,1.04315844049145e-05,0,0.124225530215394,0.0334596930959265,0.313403365741966,0.00160251871139505,0,0.27704143979892,0.0760319848866204,0.00103273644104994
0.178606218904111,1.49231438044279,0.306707510199997,0.184433980110861,0.00303457184946053,0.0193688093259661,0.350815040149047,0,0.000633077932400588,0,0.118284596192318,0.0296172969372984,0.359880326232459,0.00125815180711424,0,0.198903154181726,0.041351303234132,0.00255361315502523
0.126132432135539,1.9322351430348,0.293761729152809,0.129745057161021,0.00198767218363958,0.00493902725719069,0.351024876586422,0,0.00147371772145608,0,0.0846006427948265,0.0151460079622528,0.199885818084332,0.000329725226570585,0,0.198766988599726,0.0178520806294821,0.00515863135576607
0.154847896507493,1.5744731776288,0.372203554121268,0.103947529801537,0.00050015734494693,0.0103797140411811,0.351682499172589,0,9.89369386789925e-05,0,0.128101873330438,0.0348171286518416,0.246261650218712,0.00173684023005183,0,0.535410377790052,0.0197660961500574,0.000252860809138132
0.104853783311405,1.51577617594422,0.267341658875449,0.136767770174879,0.00206557079141514,0.00252167239597358,0.351058479968299,0,0.00187358826197071,0,0.0588444825893751,0.00733167183715659,0.1675715042259,7.71668141549816e-05,0,0.297985075479048,0.0168898822089765,0.00188765837397332
0.161780223399187,1.33223806379059,0.346397492857535,0.123785337308036,0.00174524183785103,0.00659038688755554,0.350858675636153,0,0.00045994884465551,0,0.135285389603002,0.0387433782443548,0.252800650773841,0.00215382087662056,0,0.357477026327206,0.0284589578255083,4.43687513801432e-05
0.127391668176642,3.37742228424241,0.304737184560557,0.0743169123639339,0.010080134478029,0.0194006690136845,0.350926282392283,0,0.000157476816052214,0,0.0846916034214518,0.0151693706518346,0.19981876569972,0.000331110994338837,0,0.198541631533799,0.0649423333317874,0.00350942051667875
